ID,Entidad,Sentimiento,Texto
1,2401,borderlands,Positive
2,2401,borderlands,Positive
3,2401,borderlands,Positive
4,2401,borderlands,Positive
5,2401,borderlands,Positive
6,2401,borderlands,Positive
7,2402,borderlands,Positive
8,2402,borderlands,Positive
9,2402,borderlands,Positive
10,2402,borderlands,Positive
11,2402,borderlands,Positive
12,2402,borderlands,Positive
13,2403,borderlands,Neutral
14,2403,borderlands,Neutral
15,2403,borderlands,Neutral
16,2403,borderlands,Neutral
17,2403,borderlands,Neutral
18,2403,borderlands,Neutral
19,2404,borderlands,Positive
20,2404,borderlands,Positive
21,2404,borderlands,Positive
22,2404,borderlands,Positive
23,2404,borderlands,Positive
24,2404,borderlands,Positive
25,2405,borderlands,Negative
26,2405,borderlands,Negative
27,2405,borderlands,Negative
28,2405,borderlands,Negative
29,2405,borderlands,Negative
30,2405,borderlands,Negative
31,2406,borderlands,Positive
32,2406,borderlands,Positive
33,2406,borderlands,Positive
34,2406,borderlands,Positive
35,2406,borderlands,Positive
36,2406,borderlands,Positive
37,2407,borderlands,Negative
38,2407,borderlands,Negative
39,2407,borderlands,Negative
40,2407,borderlands,Negative
41,2407,borderlands,Negative
42,2407,borderlands,Negative
43,2408,borderlands,Neutral
44,2408,borderlands,Neutral
45,2408,borderlands,Neutral
46,2408,borderlands,Neutral
47,2408,borderlands,Neutral
48,2408,borderlands,Neutral
49,2409,borderlands,Neutral
50,2409,borderlands,Neutral
51,2409,borderlands,Neutral
52,2409,borderlands,Neutral
53,2409,borderlands,Neutral
54,2409,borderlands,Neutral
55,2410,borderlands,Negative
56,2410,borderlands,Negative
57,2410,borderlands,Negative
58,2410,borderlands,Negative
59,2410,borderlands,Negative
60,2410,borderlands,Negative
61,2411,borderlands,Neutral
62,2411,borderlands,Neutral
63,2411,borderlands,Neutral
64,2411,borderlands,Neutral
65,2411,borderlands,Neutral
66,2411,borderlands,Neutral
67,2412,borderlands,Positive
68,2412,borderlands,Positive
69,2412,borderlands,Positive
70,2412,borderlands,Positive
71,2412,borderlands,Positive
72,2412,borderlands,Positive
73,2413,borderlands,Positive
74,2413,borderlands,Positive
75,2413,borderlands,Positive
76,2413,borderlands,Positive
77,2413,borderlands,Positive
78,2413,borderlands,Positive
79,2414,borderlands,Neutral
80,2414,borderlands,Neutral
81,2414,borderlands,Neutral
82,2414,borderlands,Neutral
83,2414,borderlands,Neutral
84,2414,borderlands,Neutral
85,2415,borderlands,Positive
86,2415,borderlands,Positive
87,2415,borderlands,Positive
88,2415,borderlands,Positive
89,2415,borderlands,Positive
90,2415,borderlands,Positive
91,2416,borderlands,Neutral
92,2416,borderlands,Neutral
93,2416,borderlands,Neutral
94,2416,borderlands,Neutral
95,2416,borderlands,Neutral
96,2416,borderlands,Neutral
97,2417,borderlands,Negative
98,2417,borderlands,Negative
99,2417,borderlands,Negative
100,2417,borderlands,Negative
101,2417,borderlands,Negative
102,2417,borderlands,Negative
103,2418,borderlands,Irrelevant
104,2418,borderlands,Irrelevant
105,2418,borderlands,Irrelevant
106,2418,borderlands,Irrelevant
107,2418,borderlands,Irrelevant
108,2418,borderlands,Irrelevant
109,2419,borderlands,Negative
110,2419,borderlands,Negative
111,2419,borderlands,Negative
112,2419,borderlands,Negative
113,2419,borderlands,Negative
114,2419,borderlands,Negative
115,2420,borderlands,Negative
116,2420,borderlands,Negative
117,2420,borderlands,Negative
118,2420,borderlands,Negative
119,2420,borderlands,Negative
120,2420,borderlands,Negative
121,2421,borderlands,Positive
122,2421,borderlands,Positive
123,2421,borderlands,Positive
124,2421,borderlands,Positive
125,2421,borderlands,Positive
126,2421,borderlands,Positive
127,2422,borderlands,Irrelevant
128,2422,borderlands,Irrelevant
129,2422,borderlands,Irrelevant
130,2422,borderlands,Irrelevant
131,2422,borderlands,Irrelevant
132,2422,borderlands,Irrelevant
133,2423,borderlands,Positive
134,2423,borderlands,Positive
135,2423,borderlands,Positive
136,2423,borderlands,Positive
137,2423,borderlands,Positive
138,2423,borderlands,Positive
139,2424,borderlands,Irrelevant
140,2424,borderlands,Irrelevant
141,2424,borderlands,Irrelevant
142,2424,borderlands,Irrelevant
143,2424,borderlands,Irrelevant
144,2424,borderlands,Irrelevant
145,2425,borderlands,Negative
146,2425,borderlands,Negative
147,2425,borderlands,Negative
148,2425,borderlands,Negative
149,2425,borderlands,Negative
150,2425,borderlands,Negative
151,2426,borderlands,Positive
152,2426,borderlands,Positive
153,2426,borderlands,Positive
154,2426,borderlands,Positive
155,2426,borderlands,Positive
156,2426,borderlands,Positive
157,2427,borderlands,Positive
158,2427,borderlands,Positive
159,2427,borderlands,Positive
160,2427,borderlands,Positive
161,2427,borderlands,Positive
162,2427,borderlands,Positive
163,2428,borderlands,Neutral
164,2428,borderlands,Neutral
165,2428,borderlands,Neutral
166,2428,borderlands,Neutral
167,2428,borderlands,Neutral
168,2428,borderlands,Neutral
169,2429,borderlands,Positive
170,2429,borderlands,Positive
171,2429,borderlands,Positive
172,2429,borderlands,Positive
173,2429,borderlands,Positive
174,2429,borderlands,Positive
175,2430,borderlands,Positive
176,2430,borderlands,Positive
177,2430,borderlands,Positive
178,2430,borderlands,Positive
179,2430,borderlands,Positive
180,2430,borderlands,Positive
181,2431,borderlands,Neutral
182,2431,borderlands,Neutral
183,2431,borderlands,Neutral
184,2431,borderlands,Neutral
185,2431,borderlands,Neutral
186,2431,borderlands,Neutral
187,2432,borderlands,Positive
188,2432,borderlands,Positive
189,2432,borderlands,Positive
190,2432,borderlands,Positive
191,2432,borderlands,Positive
192,2432,borderlands,Positive
193,2433,borderlands,Neutral
194,2433,borderlands,Neutral
195,2433,borderlands,Neutral
196,2433,borderlands,Neutral
197,2433,borderlands,Neutral
198,2433,borderlands,Neutral
199,2434,borderlands,Negative
200,2434,borderlands,Negative
201,2434,borderlands,Negative
202,2434,borderlands,Negative
203,2434,borderlands,Negative
204,2434,borderlands,Negative
205,2435,borderlands,Positive
206,2435,borderlands,Positive
207,2435,borderlands,Positive
208,2435,borderlands,Positive
209,2435,borderlands,Positive
210,2435,borderlands,Positive
211,2436,borderlands,Neutral
212,2436,borderlands,Neutral
213,2436,borderlands,Neutral
214,2436,borderlands,Neutral
215,2436,borderlands,Neutral
216,2436,borderlands,Neutral
217,2437,borderlands,Negative
218,2437,borderlands,Negative
219,2437,borderlands,Negative
220,2437,borderlands,Negative
221,2437,borderlands,Negative
222,2437,borderlands,Negative
223,2438,borderlands,Irrelevant
224,2438,borderlands,Irrelevant
225,2438,borderlands,Irrelevant
226,2438,borderlands,Irrelevant
227,2438,borderlands,Irrelevant
228,2438,borderlands,Irrelevant
229,2439,borderlands,Positive
230,2439,borderlands,Positive
231,2439,borderlands,Positive
232,2439,borderlands,Positive
233,2439,borderlands,Positive
234,2439,borderlands,Positive
235,2440,borderlands,Negative
236,2440,borderlands,Negative
237,2440,borderlands,Negative
238,2440,borderlands,Negative
239,2440,borderlands,Negative
240,2440,borderlands,Negative
241,2441,borderlands,Positive
242,2441,borderlands,Positive
243,2441,borderlands,Positive
244,2441,borderlands,Positive
245,2441,borderlands,Positive
246,2441,borderlands,Positive
247,2442,borderlands,Positive
248,2442,borderlands,Positive
249,2442,borderlands,Positive
250,2442,borderlands,Positive
251,2442,borderlands,Positive
252,2442,borderlands,Positive
253,2443,borderlands,Neutral
254,2443,borderlands,Neutral
255,2443,borderlands,Neutral
256,2443,borderlands,Neutral
257,2443,borderlands,Neutral
258,2443,borderlands,Neutral
259,2444,borderlands,Positive
260,2444,borderlands,Positive
261,2444,borderlands,Positive
262,2444,borderlands,Positive
263,2444,borderlands,Positive
264,2444,borderlands,Positive
265,2445,borderlands,Irrelevant
266,2445,borderlands,Irrelevant
267,2445,borderlands,Irrelevant
268,2445,borderlands,Irrelevant
269,2445,borderlands,Irrelevant
270,2445,borderlands,Irrelevant
271,2446,borderlands,Negative
272,2446,borderlands,Negative
273,2446,borderlands,Negative
274,2446,borderlands,Negative
275,2446,borderlands,Negative
276,2446,borderlands,Negative
277,2447,borderlands,Positive
278,2447,borderlands,Positive
279,2447,borderlands,Positive
280,2447,borderlands,Positive
281,2447,borderlands,Positive
282,2447,borderlands,Positive
283,2448,borderlands,Positive
284,2448,borderlands,Positive
285,2448,borderlands,Positive
286,2448,borderlands,Positive
287,2448,borderlands,Positive
288,2448,borderlands,Positive
289,2449,borderlands,Neutral
290,2449,borderlands,Neutral
291,2449,borderlands,Neutral
292,2449,borderlands,Neutral
293,2449,borderlands,Neutral
294,2449,borderlands,Neutral
295,2450,borderlands,Positive
296,2450,borderlands,Positive
297,2450,borderlands,Positive
298,2450,borderlands,Positive
299,2450,borderlands,Positive
300,2450,borderlands,Positive
301,2451,borderlands,Positive
302,2451,borderlands,Positive
303,2451,borderlands,Positive
304,2451,borderlands,Positive
305,2451,borderlands,Positive
306,2451,borderlands,Positive
307,2452,borderlands,Negative
308,2452,borderlands,Negative
309,2452,borderlands,Negative
310,2452,borderlands,Negative
311,2452,borderlands,Negative
312,2452,borderlands,Negative
313,2453,borderlands,Positive
314,2453,borderlands,Positive
315,2453,borderlands,Positive
316,2453,borderlands,Positive
317,2453,borderlands,Positive
318,2453,borderlands,Positive
319,2454,borderlands,Positive
320,2454,borderlands,Positive
321,2454,borderlands,Positive
322,2454,borderlands,Positive
323,2454,borderlands,Positive
324,2454,borderlands,Positive
325,2455,borderlands,Positive
326,2455,borderlands,Positive
327,2455,borderlands,Positive
328,2455,borderlands,Positive
329,2455,borderlands,Positive
330,2455,borderlands,Positive
331,2456,borderlands,Neutral
332,2456,borderlands,Neutral
333,2456,borderlands,Neutral
334,2456,borderlands,Neutral
